id,price,bedrooms,bathrooms,floors,sqft_basement,yr_built,yr_renovated,house_age,renovation_status,years_since_renovation
49,615894,2,2,1,121,1979,2020,47,Renovated,6.0
50,539492,5,3,2,1170,1955,1992,71,Renovated,34.0
51,306840,2,3,2,749,2016,2018,10,Renovated,8.0
52,523254,2,1,2,1379,1956,1994,70,Renovated,32.0
53,399457,2,1,2,684,2001,2007,25,Renovated,19.0
54,715987,2,2,2,308,1963,2020,63,Renovated,6.0
55,320936,3,3,2,694,2022,1997,4,Renovated,29.0
56,289931,1,3,2,287,1964,2000,62,Renovated,26.0
57,289629,4,1,1,306,1970,1999,56,Renovated,27.0
58,255041,2,2,1,913,1984,2004,42,Renovated,22.0
59,748361,5,1,2,661,2015,0,11,Not Renovated,
60,781912,2,1,1,548,1951,2009,75,Renovated,17.0
61,467113,5,1,1,1375,1984,2018,42,Renovated,8.0
62,118148,3,1,2,311,1969,2001,57,Renovated,25.0
63,698531,5,3,1,872,1959,2022,67,Renovated,4.0
64,301995,4,3,1,1082,1974,1992,52,Renovated,34.0
65,728843,1,1,1,923,2015,2016,11,Renovated,10.0
66,622843,5,2,1,754,1974,2019,52,Renovated,7.0
67,306508,5,2,1,34,2003,2015,23,Renovated,11.0
68,156530,1,2,2,444,1982,1993,44,Renovated,33.0
69,654365,4,2,2,92,1985,2013,41,Renovated,13.0
70,510337,2,1,2,1230,1963,1991,63,Renovated,35.0
71,774839,5,3,1,352,2014,2021,12,Renovated,5.0
72,509773,1,2,2,902,2003,1992,23,Renovated,34.0
73,258261,3,1,1,1355,2001,2013,25,Renovated,13.0
74,391097,1,2,1,861,1952,2008,74,Renovated,18.0
75,365139,3,2,1,158,1990,2022,36,Renovated,4.0
76,221829,4,1,1,956,1955,2014,71,Renovated,12.0
77,321836,2,3,2,23,1974,1993,52,Renovated,33.0
78,488974,1,3,2,403,1962,2016,64,Renovated,10.0
79,252283,5,1,1,804,1957,2017,69,Renovated,9.0
80,246769,4,3,2,515,1970,1997,56,Renovated,29.0
81,611353,1,1,1,731,2017,1994,9,Renovated,32.0
82,273165,5,1,2,1387,1974,2007,52,Renovated,19.0
83,673587,1,1,2,1405,2017,1999,9,Renovated,27.0
84,585822,3,3,1,531,1994,1990,32,Renovated,36.0
85,537879,1,1,2,955,2009,1997,17,Renovated,29.0
86,614685,1,2,1,151,1961,2009,65,Renovated,17.0
87,403531,1,3,2,946,1981,2012,45,Renovated,14.0
88,313160,4,3,1,607,1962,2022,64,Renovated,4.0
89,629879,1,3,1,419,1980,2010,46,Renovated,16.0
90,270884,5,3,2,1273,1969,1991,57,Renovated,35.0
91,73247,3,2,2,1140,1967,2000,59,Renovated,26.0
92,74300,3,3,1,865,2009,2016,17,Renovated,10.0
93,517281,1,3,2,577,2012,2018,14,Renovated,8.0
94,657086,4,1,2,334,1955,2014,71,Renovated,12.0
95,583556,4,3,1,1441,1981,2009,45,Renovated,17.0
96,398951,5,2,1,931,1992,2016,34,Renovated,10.0
97,324329,1,2,2,294,1951,2014,75,Renovated,12.0
98,769064,3,2,1,754,2009,2021,17,Renovated,5.0
99,792139,4,2,1,1394,1972,2009,54,Renovated,17.0
100,482315,1,3,1,185,1980,2022,46,Renovated,4.0
101,566588,4,3,2,1269,1954,2006,72,Renovated,20.0
102,286584,4,2,2,636,1983,1999,43,Renovated,27.0
103,612332,3,2,1,1291,1959,2011,67,Renovated,15.0
104,426896,2,3,2,1260,1951,2010,75,Renovated,16.0
105,98984,5,2,1,529,1960,2005,66,Renovated,21.0
106,352918,5,1,2,20,1999,1993,27,Renovated,33.0
107,314712,3,2,1,910,1980,1999,46,Renovated,27.0
108,170151,4,2,1,866,2005,2018,21,Renovated,8.0
109,505808,1,1,2,793,2022,2003,4,Renovated,23.0
110,183767,4,1,1,99,1958,2015,68,Renovated,11.0
111,698663,3,3,2,751,1970,2021,56,Renovated,5.0
112,753550,5,3,2,477,2022,2008,4,Renovated,18.0
113,186330,4,1,1,1321,1977,2004,49,Renovated,22.0
114,530754,5,1,1,939,2011,2022,15,Renovated,4.0
115,351648,1,3,2,525,1956,1990,70,Renovated,36.0
116,738519,5,2,1,333,1965,2016,61,Renovated,10.0
117,63986,5,1,1,1,1953,1994,73,Renovated,32.0
118,636146,2,3,1,374,1953,1997,73,Renovated,29.0
119,179312,2,2,1,292,1989,2008,37,Renovated,18.0
120,62666,2,1,1,836,1966,0,60,Not Renovated,
121,350804,5,2,2,1004,2001,1996,25,Renovated,30.0
122,184633,3,3,2,552,2001,2011,25,Renovated,15.0
123,338998,5,1,1,317,1985,1991,41,Renovated,35.0
124,678776,3,2,1,380,1987,1992,39,Renovated,34.0
125,757611,3,1,1,13,1999,2013,27,Renovated,13.0
126,334806,2,2,2,503,2012,2003,14,Renovated,23.0
127,80535,4,3,1,230,2012,2009,14,Renovated,17.0
128,425713,1,3,2,1107,2011,2002,15,Renovated,24.0
129,401279,2,1,2,129,1956,2000,70,Renovated,26.0
130,651661,2,2,2,837,1976,2005,50,Renovated,21.0
131,697972,4,1,1,1168,1963,1997,63,Renovated,29.0
132,539570,1,1,2,890,2020,2001,6,Renovated,25.0
133,506551,5,2,1,27,1954,2003,72,Renovated,23.0
134,323109,5,2,2,65,2004,2006,22,Renovated,20.0
135,74538,2,2,1,1186,1951,2021,75,Renovated,5.0
136,251664,1,3,2,1252,2011,1994,15,Renovated,32.0
137,541234,2,1,1,260,1970,2015,56,Renovated,11.0
138,189182,3,1,2,1472,1970,2011,56,Renovated,15.0
139,522525,2,3,1,1447,1959,2015,67,Renovated,11.0
140,208338,2,2,1,459,2007,2022,19,Renovated,4.0
141,234064,5,3,1,300,1988,2002,38,Renovated,24.0
142,264020,5,3,1,918,1954,1996,72,Renovated,30.0
143,673094,5,3,2,1326,2014,2007,12,Renovated,19.0
144,665270,3,1,2,286,1962,2018,64,Renovated,8.0
145,695914,5,3,1,1418,2002,2002,24,Renovated,24.0
146,169176,1,1,2,1033,1994,2008,32,Renovated,18.0
147,268126,4,1,1,629,1981,2013,45,Renovated,13.0
148,268969,1,1,1,269,1985,2012,41,Renovated,14.0
149,172409,1,2,2,591,2009,2002,17,Renovated,24.0
150,597707,5,1,1,843,1960,2014,66,Renovated,12.0
151,303618,4,1,1,861,2012,2011,14,Renovated,15.0
152,100015,4,2,2,1384,1970,2010,56,Renovated,16.0
153,172096,4,1,1,1280,2001,2007,25,Renovated,19.0
154,681347,3,3,1,132,2004,1991,22,Renovated,35.0
155,235340,5,3,1,1299,1975,2007,51,Renovated,19.0
156,160687,4,1,1,971,2017,1997,9,Renovated,29.0
157,461357,3,2,2,512,1983,2016,43,Renovated,10.0
158,785716,2,3,2,312,2001,2008,25,Renovated,18.0
159,155878,2,2,2,575,2001,1995,25,Renovated,31.0
160,777270,3,2,1,885,1978,2002,48,Renovated,24.0
161,248286,3,3,1,1307,1987,1997,39,Renovated,29.0
162,214899,5,2,2,1144,1991,2007,35,Renovated,19.0
163,374767,5,3,1,1130,1970,2002,56,Renovated,24.0
164,429989,2,2,1,686,1991,2005,35,Renovated,21.0
165,465515,4,3,1,1227,1962,2018,64,Renovated,8.0
166,93585,2,1,1,164,2013,1997,13,Renovated,29.0
167,421369,4,3,2,304,1966,2021,60,Renovated,5.0
168,114044,4,3,2,155,1958,2013,68,Renovated,13.0
169,492296,5,3,2,1390,1990,2002,36,Renovated,24.0
170,159556,1,3,1,619,1950,1999,76,Renovated,27.0
171,576981,1,2,2,1274,1951,2002,75,Renovated,24.0
172,250235,3,1,2,956,2009,2018,17,Renovated,8.0
173,75939,5,3,1,333,1997,1992,29,Renovated,34.0
174,202906,4,2,1,968,1978,1992,48,Renovated,34.0
175,592335,1,1,2,510,1959,2016,67,Renovated,10.0
176,338249,4,1,2,1316,2007,1996,19,Renovated,30.0
177,125766,1,1,2,1043,2009,1990,17,Renovated,36.0
178,458923,1,1,2,281,1970,2010,56,Renovated,16.0
179,465192,1,3,1,796,1977,2004,49,Renovated,22.0
180,618550,5,3,2,1024,1983,2017,43,Renovated,9.0
181,437261,2,2,2,118,1957,2018,69,Renovated,8.0
182,735440,4,2,1,1058,2008,2000,18,Renovated,26.0
183,702664,5,2,2,197,2021,1999,5,Renovated,27.0
184,504589,5,1,1,484,1998,2009,28,Renovated,17.0
185,187848,5,1,1,1082,1966,2009,60,Renovated,17.0
186,667075,5,3,1,836,2009,1993,17,Renovated,33.0
187,177948,5,1,2,1184,1994,2008,32,Renovated,18.0
188,629304,3,1,2,1008,2018,1991,8,Renovated,35.0
189,452690,4,1,1,690,1981,2021,45,Renovated,5.0
190,549046,5,2,2,1229,1993,1997,33,Renovated,29.0
191,501269,4,2,2,1035,2014,1997,12,Renovated,29.0
192,71959,3,3,1,489,1957,1992,69,Renovated,34.0
193,710890,3,1,1,275,2021,2005,5,Renovated,21.0
194,278576,4,1,2,692,1992,2022,34,Renovated,4.0
195,587833,1,3,1,241,1950,2012,76,Renovated,14.0
196,215838,2,1,2,1239,2000,2020,26,Renovated,6.0
197,385674,1,1,2,1274,1973,0,53,Not Renovated,
198,111087,1,2,2,125,1973,1996,53,Renovated,30.0
199,643128,1,3,2,216,1966,2011,60,Renovated,15.0
200,168451,5,3,1,1329,1954,2000,72,Renovated,26.0
201,497600,3,3,1,1208,1969,2000,57,Renovated,26.0
202,489792,1,3,1,1062,1970,2003,56,Renovated,23.0
203,89353,3,2,1,1246,2007,2007,19,Renovated,19.0
204,243075,4,2,2,1207,1980,2014,46,Renovated,12.0
205,264283,2,1,2,494,1960,2017,66,Renovated,9.0
206,364877,4,1,1,426,2001,2010,25,Renovated,16.0
207,115318,4,1,2,1201,1964,2009,62,Renovated,17.0
208,532690,5,1,2,918,1956,2008,70,Renovated,18.0
209,466880,2,2,2,1451,1977,2017,49,Renovated,9.0
210,641460,4,3,1,1317,2000,1992,26,Renovated,34.0
211,790976,4,2,1,150,2007,1995,19,Renovated,31.0
212,143264,2,1,1,383,1954,2016,72,Renovated,10.0
213,275281,2,2,2,307,1954,2016,72,Renovated,10.0
214,687147,4,3,1,1359,1957,1992,69,Renovated,34.0
215,444070,2,3,1,745,2013,2010,13,Renovated,16.0
216,402228,4,2,1,891,1959,2000,67,Renovated,26.0
217,481839,4,2,1,374,1987,1991,39,Renovated,35.0
218,319536,5,2,1,1031,1957,2010,69,Renovated,16.0
219,367824,1,1,1,1364,1974,1990,52,Renovated,36.0
220,307426,4,2,2,128,2022,2012,4,Renovated,14.0
221,227789,3,2,2,1014,2015,2022,11,Renovated,4.0
222,563153,1,2,1,668,1999,2015,27,Renovated,11.0
223,792452,1,3,1,1375,2016,0,10,Not Renovated,
224,175657,1,3,2,1381,1998,1996,28,Renovated,30.0
225,285167,5,1,2,516,1985,2011,41,Renovated,15.0
226,731669,4,1,1,85,2017,1994,9,Renovated,32.0
227,530671,5,3,1,1198,1990,2010,36,Renovated,16.0
228,769094,4,3,1,1216,2011,2013,15,Renovated,13.0
229,120467,5,3,1,310,1959,2006,67,Renovated,20.0
230,233734,5,2,2,1142,1970,2005,56,Renovated,21.0
231,672794,3,2,1,1241,1985,2000,41,Renovated,26.0
232,159751,5,3,1,426,1961,1994,65,Renovated,32.0
233,431050,2,2,1,1437,1951,2014,75,Renovated,12.0
234,742517,3,2,1,113,1962,2015,64,Renovated,11.0
235,511079,5,1,2,1168,2002,1996,24,Renovated,30.0
236,418452,1,3,2,302,1981,2007,45,Renovated,19.0
237,156081,2,3,2,743,1965,0,61,Not Renovated,
238,663333,2,2,1,587,1981,2017,45,Renovated,9.0
239,608986,2,3,1,986,1981,2002,45,Renovated,24.0
240,160078,3,1,2,344,1960,2008,66,Renovated,18.0
241,72671,5,1,1,813,1959,2001,67,Renovated,25.0
242,468400,5,1,1,800,1964,1996,62,Renovated,30.0
243,405528,1,3,2,1024,1966,2008,60,Renovated,18.0
244,660490,1,3,2,1170,1989,2021,37,Renovated,5.0
245,101663,2,3,2,1310,1967,2014,59,Renovated,12.0
246,65708,1,3,2,1076,2004,2009,22,Renovated,17.0
247,361955,3,3,1,1327,2022,1997,4,Renovated,29.0
248,183883,5,1,1,1092,1974,2012,52,Renovated,14.0
249,368394,2,2,2,360,2008,2005,18,Renovated,21.0
250,162547,1,1,1,1243,1971,2012,55,Renovated,14.0
251,609042,3,3,2,1009,1979,2009,47,Renovated,17.0
252,192483,3,1,2,703,1993,2001,33,Renovated,25.0
253,708271,1,3,1,574,1981,1999,45,Renovated,27.0
254,264835,5,3,2,1184,2000,2007,26,Renovated,19.0
255,451896,1,1,1,1112,1995,1999,31,Renovated,27.0
256,134896,2,3,1,687,1970,2001,56,Renovated,25.0
257,527095,1,2,1,780,1981,0,45,Not Renovated,
258,121295,3,3,1,584,1988,2007,38,Renovated,19.0
259,793974,1,2,2,588,1961,2000,65,Renovated,26.0
260,323255,5,2,1,1182,1996,1996,30,Renovated,30.0
261,349648,4,3,2,488,1967,1996,59,Renovated,30.0
262,707162,1,1,2,970,1970,2000,56,Renovated,26.0
263,58155,5,2,2,1347,1962,2021,64,Renovated,5.0
264,516872,5,1,2,1404,1970,2014,56,Renovated,12.0
265,424705,3,2,1,1125,1957,2016,69,Renovated,10.0
266,621542,5,3,1,493,1995,1993,31,Renovated,33.0
267,660269,5,3,2,18,1956,1996,70,Renovated,30.0
268,604594,5,2,2,1477,1972,2013,54,Renovated,13.0
269,197718,5,3,1,396,1971,2015,55,Renovated,11.0
270,358987,2,2,2,1000,1971,2011,55,Renovated,15.0
271,695263,2,3,1,1302,1978,2018,48,Renovated,8.0
272,408745,3,1,2,850,1962,2011,64,Renovated,15.0
273,157512,1,3,1,1388,1951,2008,75,Renovated,18.0
274,197443,5,1,2,1354,1978,2006,48,Renovated,20.0
275,520587,1,3,2,1367,2001,2006,25,Renovated,20.0
276,423616,1,1,1,821,1976,1990,50,Renovated,36.0
277,707409,3,3,2,454,1999,1992,27,Renovated,34.0
278,736976,5,1,2,724,1972,2018,54,Renovated,8.0
279,415871,5,2,1,1088,1993,2021,33,Renovated,5.0
280,425037,4,2,2,1099,1971,2006,55,Renovated,20.0
281,167796,1,1,1,710,1992,2007,34,Renovated,19.0
282,341999,1,3,1,142,1986,2016,40,Renovated,10.0
283,242506,2,1,2,916,2010,2008,16,Renovated,18.0
284,748376,4,3,2,827,2005,2021,21,Renovated,5.0
285,319544,2,2,2,604,1952,2000,74,Renovated,26.0
286,430002,2,3,2,1496,2012,2003,14,Renovated,23.0
287,748002,2,2,2,1440,1968,1990,58,Renovated,36.0
288,589439,3,3,2,304,1972,2017,54,Renovated,9.0
289,640978,3,3,2,735,1978,1998,48,Renovated,28.0
290,578787,2,3,1,290,1979,1990,47,Renovated,36.0
291,580583,4,1,2,101,1988,1999,38,Renovated,27.0
292,438215,1,1,1,1290,1974,2001,52,Renovated,25.0
293,371184,4,2,2,866,1957,1998,69,Renovated,28.0
294,472515,5,2,2,967,2007,2002,19,Renovated,24.0
295,718234,3,1,1,973,1965,2006,61,Renovated,20.0
296,428480,1,2,2,841,2021,1997,5,Renovated,29.0
297,82711,1,1,2,961,1950,2016,76,Renovated,10.0
298,551157,5,3,1,941,1954,1991,72,Renovated,35.0
299,234423,5,2,2,1026,1952,2008,74,Renovated,18.0
300,566349,2,2,2,84,2014,1994,12,Renovated,32.0
301,753714,3,1,2,327,1953,2015,73,Renovated,11.0
302,707917,3,2,1,815,2013,1990,13,Renovated,36.0
303,787378,4,2,2,1473,1959,2017,67,Renovated,9.0
304,183272,2,3,2,453,1970,1991,56,Renovated,35.0
305,752335,2,2,2,628,1995,2004,31,Renovated,22.0
306,693409,2,3,2,1244,1976,2018,50,Renovated,8.0
307,127505,2,1,1,1177,2015,1990,11,Renovated,36.0
308,52869,3,2,1,664,1990,2005,36,Renovated,21.0
309,504351,3,3,2,11,1962,2000,64,Renovated,26.0
310,362252,2,1,2,1156,1958,0,68,Not Renovated,
311,686584,4,2,1,303,1985,2003,41,Renovated,23.0
312,668467,1,1,1,1316,2007,2014,19,Renovated,12.0
313,140272,1,2,2,974,2003,2009,23,Renovated,17.0
314,88467,4,1,1,1323,1961,2019,65,Renovated,7.0
315,530047,2,1,2,782,1963,2013,63,Renovated,13.0
316,709347,3,3,1,42,1983,2011,43,Renovated,15.0
317,108871,1,1,1,943,2002,2012,24,Renovated,14.0
318,178391,5,2,1,342,1969,2016,57,Renovated,10.0
319,489430,5,2,1,1349,1965,2009,61,Renovated,17.0
320,660704,4,3,2,497,2019,2006,7,Renovated,20.0
321,306687,2,2,1,363,2005,1997,21,Renovated,29.0
322,775451,1,2,1,890,2007,2018,19,Renovated,8.0
323,157450,2,2,2,426,1953,2022,73,Renovated,4.0
324,221890,1,1,1,1004,1953,2020,73,Renovated,6.0
325,488741,4,1,1,20,1969,1991,57,Renovated,35.0
326,331974,4,2,2,406,1959,1991,67,Renovated,35.0
327,450109,5,3,1,618,1973,2016,53,Renovated,10.0
328,166381,2,1,2,1014,1975,2003,51,Renovated,23.0
329,523125,5,3,2,335,1986,2011,40,Renovated,15.0
330,621621,2,2,2,1140,2003,1999,23,Renovated,27.0
331,184508,5,2,2,1147,1970,2020,56,Renovated,6.0
332,779650,3,1,1,398,1987,2021,39,Renovated,5.0
333,449111,3,2,2,792,1995,2012,31,Renovated,14.0
334,200810,3,1,1,714,1953,2022,73,Renovated,4.0
335,342890,3,2,1,50,2009,2016,17,Renovated,10.0
336,623665,1,2,1,323,2006,1995,20,Renovated,31.0
337,410032,3,1,1,788,1994,1992,32,Renovated,34.0
338,419599,4,1,1,140,1969,0,57,Not Renovated,
339,710960,4,1,1,469,1966,0,60,Not Renovated,
340,221836,1,2,1,786,2020,2008,6,Renovated,18.0
341,779903,3,2,1,1357,1953,2007,73,Renovated,19.0
342,95714,3,3,1,963,1963,2017,63,Renovated,9.0
343,677234,3,1,1,1007,1952,1998,74,Renovated,28.0
344,680271,5,2,2,372,2007,2006,19,Renovated,20.0
345,516960,2,2,2,493,2004,2016,22,Renovated,10.0
346,761851,5,1,2,750,1953,2019,73,Renovated,7.0
347,174123,2,3,1,1179,1973,2015,53,Renovated,11.0
348,355628,3,1,2,290,1983,1999,43,Renovated,27.0
349,132989,3,3,2,1167,1979,1993,47,Renovated,33.0
350,348356,5,2,2,105,1968,1996,58,Renovated,30.0
351,228274,5,3,1,1443,1980,2022,46,Renovated,4.0
352,737995,2,2,1,669,2009,2000,17,Renovated,26.0
353,375352,4,1,1,1,2009,0,17,Not Renovated,
354,461927,2,1,1,588,1968,2019,58,Renovated,7.0
355,181373,5,1,2,643,1998,1992,28,Renovated,34.0
356,488452,5,3,2,89,2012,1993,14,Renovated,33.0
357,165294,1,2,2,1368,1971,2018,55,Renovated,8.0
358,509451,5,1,2,349,1973,2012,53,Renovated,14.0
359,698307,1,1,1,1482,1979,1991,47,Renovated,35.0
360,115726,4,2,1,1286,2007,1999,19,Renovated,27.0
361,191564,2,1,1,1374,1980,1992,46,Renovated,34.0
362,427812,2,2,2,1131,2013,2014,13,Renovated,12.0
363,318246,1,2,1,1062,1968,2015,58,Renovated,11.0
364,755696,2,2,1,908,1997,2015,29,Renovated,11.0
365,168015,5,2,2,158,1994,1994,32,Renovated,32.0
366,790674,3,2,2,958,2004,2003,22,Renovated,23.0
367,304079,1,3,1,311,2004,2018,22,Renovated,8.0
368,600929,2,1,1,1264,1967,2011,59,Renovated,15.0
369,739944,1,3,1,444,2012,1994,14,Renovated,32.0
370,738105,1,1,1,297,1996,1992,30,Renovated,34.0
371,563758,3,3,1,951,2006,2006,20,Renovated,20.0
372,415890,5,2,1,35,1994,1997,32,Renovated,29.0
373,495101,1,1,2,1107,1982,2017,44,Renovated,9.0
374,86631,2,1,2,1475,1966,2001,60,Renovated,25.0
375,122991,4,3,2,1408,2019,2005,7,Renovated,21.0
376,54014,1,3,1,1195,1953,2020,73,Renovated,6.0
377,323237,1,1,2,1399,1969,2010,57,Renovated,16.0
378,68070,3,3,1,1385,1996,1992,30,Renovated,34.0
379,106958,5,3,1,558,1964,1993,62,Renovated,33.0
380,132074,4,3,2,890,2019,2001,7,Renovated,25.0
381,585017,2,2,1,140,1996,2022,30,Renovated,4.0
382,226089,4,2,1,886,1958,2010,68,Renovated,16.0
383,247392,2,3,2,1141,1965,2011,61,Renovated,15.0
384,208823,5,3,2,1300,2018,1991,8,Renovated,35.0
385,680152,2,2,2,725,2010,2022,16,Renovated,4.0
386,443002,3,2,1,1243,1959,2020,67,Renovated,6.0
387,783429,3,1,2,1049,1999,2009,27,Renovated,17.0
388,548863,3,1,2,520,1952,2009,74,Renovated,17.0
389,417654,3,2,1,9,2019,1999,7,Renovated,27.0
390,629036,4,3,2,983,2000,1992,26,Renovated,34.0
391,580089,5,3,2,377,1968,0,58,Not Renovated,
392,200262,2,3,2,681,1991,2016,35,Renovated,10.0
393,492905,2,3,1,583,1984,2012,42,Renovated,14.0
394,285362,3,1,1,151,1995,2001,31,Renovated,25.0
395,494209,3,2,1,719,1975,2022,51,Renovated,4.0
396,603880,1,3,1,1072,2018,1999,8,Renovated,27.0
397,714076,5,1,2,1177,2013,2005,13,Renovated,21.0
398,269963,4,3,1,858,1986,2006,40,Renovated,20.0
399,530761,2,2,1,1316,1998,2010,28,Renovated,16.0
400,298710,1,1,2,49,1970,2012,56,Renovated,14.0
401,270984,1,2,2,663,2013,2007,13,Renovated,19.0
402,314512,2,2,2,530,1954,2009,72,Renovated,17.0
403,651863,4,1,1,1083,2019,1996,7,Renovated,30.0
404,318799,1,1,1,1190,1953,2016,73,Renovated,10.0
405,287549,1,1,1,1225,1988,1993,38,Renovated,33.0
406,644319,5,1,2,856,1984,2005,42,Renovated,21.0
407,534299,4,1,2,145,1950,2007,76,Renovated,19.0
408,662210,1,1,1,914,1973,2015,53,Renovated,11.0
409,498982,4,1,2,992,2006,2022,20,Renovated,4.0
410,174046,2,3,2,1462,2019,1999,7,Renovated,27.0
411,456619,3,2,2,241,1990,2000,36,Renovated,26.0
412,82097,1,1,1,580,2003,2009,23,Renovated,17.0
413,716326,5,3,2,686,1995,1999,31,Renovated,27.0
414,699150,2,3,2,482,2009,2016,17,Renovated,10.0
415,280229,4,3,1,1131,2009,1993,17,Renovated,33.0
416,168834,2,2,1,1249,2006,2005,20,Renovated,21.0
417,143848,1,1,2,672,1980,2008,46,Renovated,18.0
418,102921,4,3,2,630,1973,2000,53,Renovated,26.0
419,755086,3,2,1,660,1985,1994,41,Renovated,32.0
420,700429,2,2,1,661,1979,2005,47,Renovated,21.0
421,755660,1,2,2,1455,1973,2007,53,Renovated,19.0
422,334821,5,3,2,804,1979,2014,47,Renovated,12.0
423,105609,4,1,2,418,1956,2020,70,Renovated,6.0
424,277897,2,3,2,987,1984,1994,42,Renovated,32.0
425,81024,2,3,1,1478,2004,1999,22,Renovated,27.0
426,120313,3,1,2,1183,1963,2021,63,Renovated,5.0
427,439957,3,1,2,649,1959,2012,67,Renovated,14.0
428,234078,5,1,1,968,1965,2011,61,Renovated,15.0
429,407429,5,2,2,589,2003,2003,23,Renovated,23.0
430,511243,1,1,1,1100,2019,2015,7,Renovated,11.0
431,163632,1,3,2,508,1993,1999,33,Renovated,27.0
432,301451,5,1,2,440,2022,2005,4,Renovated,21.0
433,53051,5,3,1,1277,1994,2002,32,Renovated,24.0
434,754107,4,2,1,920,2005,2015,21,Renovated,11.0
435,426836,3,3,2,769,2006,2006,20,Renovated,20.0
436,661523,1,3,2,1343,1970,2016,56,Renovated,10.0
437,771772,3,1,2,262,2017,1992,9,Renovated,34.0
438,239407,3,1,1,1397,1999,1995,27,Renovated,31.0
439,499395,5,3,2,636,1982,1997,44,Renovated,29.0
440,512894,4,1,1,1190,1956,1996,70,Renovated,30.0
441,261810,2,2,1,458,2019,2005,7,Renovated,21.0
442,777975,4,2,2,998,1964,2005,62,Renovated,21.0
443,123523,4,1,1,1303,1981,2021,45,Renovated,5.0
444,144476,3,2,2,699,1969,2020,57,Renovated,6.0
445,283841,4,1,2,301,1964,1996,62,Renovated,30.0
446,272866,1,3,2,1241,1997,2007,29,Renovated,19.0
447,136672,3,3,2,1125,2020,1991,6,Renovated,35.0
448,648135,1,2,2,553,1970,1993,56,Renovated,33.0
449,394894,2,1,1,287,1991,2001,35,Renovated,25.0
450,784994,3,1,1,1190,1975,2019,51,Renovated,7.0
451,78251,2,2,2,620,1963,2004,63,Renovated,22.0
452,677769,3,3,2,1005,2006,2020,20,Renovated,6.0
453,424710,5,2,1,35,1986,2010,40,Renovated,16.0
454,600233,4,3,1,743,2007,2017,19,Renovated,9.0
455,82217,5,1,1,352,1970,2010,56,Renovated,16.0
456,58308,2,3,1,72,2018,1991,8,Renovated,35.0
457,318093,4,2,2,647,1952,1998,74,Renovated,28.0
458,233062,3,1,2,1376,1986,2009,40,Renovated,17.0
